x,y,z
-12.9596900755,-14.0723046769,-15.4868151316
-12.9399632613,-14.0667826854,-15.457106323
-12.9338302126,-14.0526532106,-15.4222705291
-12.9184476318,-14.0410812941,-15.4195593012
-12.891785962,-14.019497953,-15.3911186228
-12.890724643,-14.0124947328,-15.3666164629
-12.8837212082,-13.997481337,-15.3242090484
-12.8751095573,-13.9872713848,-15.2908475964
-12.8571063866,-13.9750915745,-15.2852434564
-12.8341358386,-13.9714589376,-15.2636872289
-12.822612159,-13.9700449355,-15.1150779856
-12.7575336651,-13.9529555303,-15.0983685349
-12.7353082976,-13.8740667533,-15.0449762673
-12.7082771935,-13.8491335143,-15.0417908206
-12.6999255226,-13.8271114363,-15.0307655468
-12.6223984882,-13.8072755977,-15.0211122717
-12.5808868074,-13.7750187046,-15.0035786789
-12.5675347772,-13.7213135821,-14.980830983
-12.5161528874,-13.6951692841,-14.9697073612
-12.5138792721,-13.6858397021,-14.9482342252
-12.4886659986,-13.6210660248,-14.9274712955
-12.4822631268,-13.6030354527,-14.8969991391
-12.455692595,-13.583194366,-14.8808534089
-12.4366684683,-13.555014897,-14.8623466247
-12.4348119741,-13.545175168,-14.8275931658
-12.4109621549,-13.536234508,-14.7956626917
-12.3980809146,-13.5333662397,-14.7575151277
-12.380178868,-13.4961021084,-14.7248123527
-12.3315605001,-13.4584148947,-14.7167447995
-12.3295441924,-13.4050134139,-14.7077568694
-12.3046661775,-13.3682072711,-14.7056865818
-12.2866824732,-13.3633081531,-14.6584296468
-12.2527254796,-13.3458694957,-14.6211271755
-12.2334490497,-13.3081085729,-14.5371246469
-12.0765862207,-13.282405195,-14.5266130452
-12.0448795694,-13.2555707046,-14.492870528
-12.0426761036,-13.1949736434,-14.489906573
-11.8926309498,-13.1202249523,-14.4879876637
-11.882725279,-13.1155102112,-14.4502834306
-11.8709763317,-13.1008644001,-14.4034156947
-11.8193795651,-13.0706999164,-14.3814278207
-11.7887489052,-13.0704321654,-14.360394323
-11.7605358184,-13.0449186953,-14.3048359374
-11.7347189854,-13.0278863854,-14.3026293566
-11.7260419154,-13.0128632485,-14.3015547625
-11.7055772156,-13.0068085898,-14.3010989111
-11.7053774936,-12.9907077251,-14.186255492
-11.6951222336,-12.9732676252,-14.1825321254
-11.69197979,-12.9508975157,-14.1284240971
-11.6443258083,-12.9098250532,-14.0436859415
-11.6026410923,-12.904967564,-14.043087349
-11.5728001015,-12.887965587,-13.978518159
-11.5419612747,-12.8550017326,-13.9614060896
-11.5317332722,-12.8420686798,-13.6968638734
-11.4879462527,-12.8368383077,-13.6658415911
-11.4628131159,-12.8348734445,-13.6396589239
-11.3472845499,-12.8003357234,-13.5541907905
-11.3332181496,-12.7991831626,-13.34831202
-11.2065075786,-12.78747492,-13.3305653549
-11.1822297699,-12.7863230731,-13.2276761544
-11.1149868769,-12.7713096842,-13.1655308588
-11.0364878433,-12.7098594891,-13.1446636418
-10.9758900485,-12.7021546298,-13.1343544797
-10.956855243,-12.6824268678,-13.1235697437
-10.9516517964,-12.5754504954,-13.1112116924
-10.9238191375,-12.5744520986,-13.0896090648
-10.9186401012,-12.5515024424,-13.0086991391
-10.85941638,-12.5442881925,-12.9795888675
-10.8356268032,-12.5030435519,-12.948730805
-10.8031951512,-12.4485207914,-12.94847425
-10.7057409593,-12.4437094253,-12.9480821649
-10.6454593789,-12.4194213855,-12.9474086848
-10.5717995683,-12.4174305661,-12.8437141563
-10.4495543262,-12.3984661587,-12.8148189762
-10.3711843116,-12.3172465964,-12.6667228696
-10.3662847376,-12.2156658408,-12.6375778319
-10.3407277794,-12.1334181863,-12.6248300836
-10.3176792128,-12.0592604048,-12.6135865715
-10.2844993693,-12.0450063537,-12.5364344711
-10.2325940269,-11.8417708644,-12.4053952528
-10.1113610241,-11.8382740398,-12.3852588858
-10.0912991276,-11.7998828703,-12.234531334
-10.0179782645,-11.737024638,-12.1621446635
-10.0174626521,-11.7178904818,-12.1242012723
-9.9582748941,-11.6978017609,-12.0738385117
-9.9492901595,-11.6746326068,-12.0311317291
-9.9225023937,-11.6492985424,-11.9817441565
-9.898894174,-11.6103735381,-11.9732121037
-9.81232793,-11.6098264138,-11.764297465
-9.7642091202,-11.5946858436,-11.6710370218
-9.7316753688,-11.440973385,-11.626514364
-9.7163165268,-11.3558915686,-11.6167124217
-9.6644874788,-11.3280173416,-11.6072920727
-9.6036697657,-11.2966335609,-11.5588957085
-9.4673676289,-11.2167955941,-11.5527974761
-9.3144263641,-11.2049406466,-11.3998524463
-9.2489455966,-11.1960493639,-10.6148423998
-9.1727902247,-11.1950007851,-10.5157709352
-9.1127048416,-11.174127858,-10.5017426486
-9.0898896691,-11.0614080747,-10.5012796644
-8.9267299067,-11.0596504788,-10.4929528729
-8.9160376111,-11.0326655192,-10.4611630273
-8.8929019873,-10.9841538028,-10.4429329111
-8.7816098987,-10.972385943,-10.4195708335
-8.7757568945,-10.9176527149,-10.4080055123
-8.7091935162,-10.9078955255,-10.3192451153
-8.6892398005,-10.8459968087,-10.2373932556
-8.6766895601,-10.7998328993,-10.1702618658
-8.6172356868,-10.7552752467,-10.1450327812
-8.5750837874,-10.7336594175,-9.9459677709
-8.4975527451,-10.7287088765,-9.9198998308
-8.4810079105,-10.6833716401,-9.8952171849
-8.3607080484,-10.6646926767,-9.8690215185
-8.281652047,-10.6203296817,-9.7057916582
-8.2085344432,-10.5679554836,-9.6296099007
-8.1977379767,-10.5476610298,-9.5564142721
-8.1488987463,-10.5007281709,-9.5527739135
-8.1292720933,-10.4965034648,-9.4897650236
-8.0238091697,-10.3358335962,-9.4127769261
-8.0060949693,-10.3269659435,-9.2053761252
-7.9445103659,-10.2674218768,-9.1997160074
-7.9088931026,-10.2174926337,-9.0973607637
-7.7301715008,-10.1090661664,-9.0394585926
-7.6710600643,-10.0011053786,-8.9691460977
-7.6611424817,-9.9486289118,-8.9512077392
-7.6432533791,-9.9278157019,-8.9430584563
-7.5101541313,-9.8823121727,-8.9398033051
-7.4264992484,-9.8586559336,-8.9074246498
-7.3800950635,-9.8555540955,-8.8628643264
-7.2972461814,-9.7607449686,-8.7660690219
-7.2791124482,-9.7003521334,-8.7152241495
-7.2120158274,-9.5048130422,-8.70715655
-7.1572706967,-9.4812363853,-8.6661118623
-7.1332461216,-9.439341935,-8.6403895977
-7.0593242747,-9.4379973266,-8.6281263282
-7.0401286769,-9.3893622502,-8.6150562239
-7.015531365,-9.3362301001,-8.5788769808
-6.8727802945,-9.284911173,-8.5735237549
-6.8551785583,-9.2530273478,-8.4747551897
-6.8348619885,-9.2508506344,-8.4229251497
-6.7528375533,-9.2230823453,-8.3959002315
-6.7187424609,-9.1694786815,-8.344458987
-6.6722451514,-9.0601491122,-8.2391449722
-6.6301754276,-9.0566893169,-8.2021127739
-6.5865091942,-9.0043289001,-8.1593389993
-6.5356862859,-8.9524125727,-8.1271993479
-6.5196273966,-8.9168450227,-8.1043978141
-6.4829464823,-8.8032742193,-8.0577415085
-6.4391492479,-8.792931912,-8.0417549318
-6.4096903462,-8.6827294163,-8.0259986806
-6.3991640462,-8.6293993191,-8.0182758177
-6.3638760283,-8.5921259732,-8.0158109841
-6.3187058524,-8.5262388635,-8.0037452125
-6.3104476951,-8.519889787,-7.9871932306
-6.2923597842,-8.489290132,-7.9535182501
-6.2141983873,-8.4403728232,-7.8836668227
-6.1862846163,-8.4201742132,-7.8833998824
-6.1497951307,-8.4200017698,-7.8487414373
-6.0588439958,-8.4089542195,-7.8442062516
-6.0467012015,-8.3267216846,-7.8431321462
-5.8898556498,-8.3071621552,-7.823240515
-5.8717025565,-8.2964402882,-7.7723527097
-5.8160021885,-8.2943580128,-7.7680469402
-5.762928115,-8.2649956096,-7.75339553
-5.7456931909,-8.2187426531,-7.7477682146
-5.7397573858,-8.1492139232,-7.692976837
-5.6130039747,-8.1391502101,-7.6844663233
-5.5705867809,-8.0411569248,-7.6826910897
-5.5412891062,-8.0354949055,-7.6733044694
-5.5314698763,-7.9826032454,-7.6016682374
-5.5149537183,-7.9140119379,-7.5747248502
-5.5126412752,-7.8932685463,-7.5613140529
-5.4746550682,-7.8633706292,-7.5193221468
-5.4201500839,-7.6979858926,-7.4792783854
-5.371739167,-7.6660960125,-7.4519486451
-5.3434425957,-7.6309724388,-7.4480154845
-5.3341459164,-7.561275188,-7.3486319364
-5.2170917198,-7.5506038263,-7.3280412874
-5.1867598045,-7.4256543271,-7.3147435058
-5.1305456033,-7.4025671723,-7.2647358945
-5.1014873299,-7.3993890755,-7.2515129504
-5.0948690045,-7.371330151,-7.2486232921
-4.9141073298,-7.3160420385,-7.2215998246
-4.9032641263,-7.2781994168,-7.2165714662
-4.8711636296,-7.2457539963,-7.1956499034
-4.867139639,-7.2201902238,-7.1904176423
-4.8307184765,-7.196217821,-7.1804281274
-4.8290001766,-7.192052421,-7.1260514193
-4.8269335839,-7.1661876707,-7.1037218004
-4.8231765497,-7.134078167,-7.0724134602
-4.8071077827,-7.1171642102,-7.0362186337
-4.7787768231,-7.093061954,-6.9985923505
-4.703760568,-7.0718091475,-6.8805307566
-4.6872154137,-6.9221006201,-6.8229488078
-4.6833160734,-6.8893007565,-6.8092611304
-4.6737782014,-6.8812641429,-6.8057367091
-4.6719027639,-6.8802067617,-6.7434147271
-4.6528024069,-6.8717972312,-6.7344007495
-4.6506171925,-6.852102374,-6.7021404084
-4.6505534042,-6.8439686844,-6.6842815866
-4.6503342863,-6.795184405,-6.6545865696
-4.6380365798,-6.7914962052,-6.6055578482
-4.6155340051,-6.7747942797,-6.5907939976
-4.5321500826,-6.704394547,-6.5869656936
-4.4997536581,-6.7013789857,-6.5866415405
-4.4805022477,-6.6943897991,-6.5377106438
-4.4663220507,-6.6900107337,-6.4667745631
-4.4641797547,-6.6566331565,-6.4401708558
-4.4514458539,-6.6448208565,-6.3855277563
-4.423966101,-6.6308142213,-6.3834873665
-4.4175338497,-6.5979389945,-6.3520162428
-4.373588742,-6.548011335,-6.3136021403
-4.3618914941,-6.5473803535,-6.3039574491
-4.3551633226,-6.4963141203,-6.3020200655
-4.3414921185,-6.4930326466,-6.26795152
-4.3318622265,-6.4819819487,-6.1148734366
-4.1427883311,-6.3646857238,-6.0365928219
-4.1249573865,-6.2519337538,-6.013053659
-4.121437805,-6.0655752331,-6.0064825611
-4.0695780862,-5.960660399,-5.9709739843
-4.0619000423,-5.9042629943,-5.9210066014
-4.0528507122,-5.8520433859,-5.9057402103
-4.0343067696,-5.7631450462,-5.8775615482
-4.0186002431,-5.7498113,-5.7951343279
-4.0158495961,-5.7110504851,-5.7543576398
-3.9512628636,-5.5967169734,-5.7388193651
-3.9508499932,-5.3991129755,-5.7013616837
-3.9431630812,-5.3480709981,-5.6695274527
-3.8569311868,-5.3404041923,-5.6355748395
-3.8539524447,-5.3304221693,-5.6194561375
-3.8488213492,-5.2909297785,-5.6100711138
-3.8449308088,-5.2652257666,-5.5850485396
-3.8391896798,-5.2376355497,-5.5259001731
-3.8272105204,-5.0904367437,-5.4969503639
-3.8061111412,-5.0704318641,-5.4873747287
-3.8019694496,-5.0371797878,-5.3504114776
-3.7829406594,-4.9935827355,-5.3184411209
-3.7684763065,-4.796659294,-5.2361119968
-3.7537826322,-4.7205709021,-5.1742921605
-3.7483580087,-4.7132785106,-5.1613313446
-3.6995991246,-4.588063599,-5.1417532467
-3.6765145317,-4.446151246,-4.9346324635
-3.675841024,-4.3181562105,-4.9234044909
-3.6664734516,-4.2826035779,-4.8849848859
-3.6298176588,-4.2696428968,-4.8554187988
-3.5541741425,-4.2679542064,-4.8226528414
-3.5400970195,-4.0226505801,-4.8165741574
-3.5231796908,-3.9708504805,-4.776842747
-3.5052915484,-3.936993273,-4.7551443259
-3.4956404906,-3.8085298869,-4.7479103461
-3.4421423018,-3.7818607273,-4.7378375704
-3.4001336579,-3.7091339539,-4.7187094305
-3.3941434919,-3.6210754643,-4.7016235965
-3.384195474,-3.6084327796,-4.6801385537
-3.3818065542,-3.531906095,-4.6770229783
-3.3739488238,-3.4442822655,-4.6033356735
-3.3733806188,-3.4424806538,-4.5709303911
-3.3691854962,-3.4094558828,-4.5095127806
-3.339710813,-3.386770333,-4.501092069
-3.3326447731,-3.3459259925,-4.4815789725
-3.3318354849,-3.3222860217,-4.4609613384
-3.321221479,-3.2881522465,-4.4376484128
-3.2927048064,-3.2425340303,-4.3919045645
-3.2895179528,-3.2063289858,-4.347058417
-3.282920354,-3.1924043558,-4.292621968
-3.2806096322,-3.1877320923,-4.2604115502
-3.2612139707,-3.1060837362,-4.2266291934
-3.2495963433,-3.0771866613,-4.1968793329
-3.234425526,-3.0323559392,-4.169022955
-3.2295368133,-3.0065135129,-4.1488406384
-3.2267163352,-2.9984165874,-4.1208877556
-3.2123773305,-2.9779531393,-4.1189892831
-3.1852842796,-2.9669703047,-4.0327293674
-3.1763910278,-2.8982639342,-4.0198449786
-3.1755480312,-2.887757408,-4.0111131367
-3.1679325174,-2.8841165383,-4.0019397849
-3.1644241073,-2.8675275612,-3.9663336851
-3.1583496844,-2.8147151633,-3.9126981915
-3.146223747,-2.8136220338,-3.872852881
-3.1306289399,-2.7892049891,-3.7791624963
-3.0932131698,-2.74811979,-3.777205265
-3.0890887849,-2.7202325355,-3.7518513299
-3.0674672465,-2.7162446392,-3.746233878
-3.0643495004,-2.6228490327,-3.7277756646
-3.0326593166,-2.613517281,-3.6618622813
-3.0057735198,-2.5809416383,-3.6582962627
-3.0042489625,-2.5778185514,-3.6376455411
-2.9784416886,-2.5587778289,-3.5961034839
-2.9629867519,-2.5500903846,-3.5710112694
-2.939473701,-2.4640877672,-3.5638541755
-2.9273983493,-2.4526148827,-3.5377537958
-2.9256463566,-2.445488578,-3.484640218
-2.9130539465,-2.4351225894,-3.4710265786
-2.9042406391,-2.4230161689,-3.422911366
-2.8939379438,-2.3960465915,-3.3883314326
-2.889037055,-2.3337571533,-3.3780801971
-2.8507076223,-2.3232210885,-3.3351235592
-2.7899354829,-2.3228596988,-3.3207539012
-2.7889194315,-2.3203590799,-3.3053288044
-2.7820997822,-2.2994298366,-3.2421806785
-2.7723777845,-2.2985140456,-3.2246736317
-2.7681180996,-2.291328409,-3.2049302813
-2.7568199814,-2.2794362228,-3.1994298531
-2.7522687615,-2.2772145982,-3.1985861256
-2.7319644437,-2.2766649259,-3.1364100196
-2.6545335192,-2.2561311138,-3.1241416197
-2.648400891,-2.2242212827,-3.1154503755
-2.634141808,-2.1664291202,-3.11293906
-2.6154459934,-2.139703879,-3.0998474489
-2.5576784654,-2.1261176833,-3.0949849237
-2.5556825437,-2.1202933449,-3.0937036044
-2.5276902589,-2.0631118259,-3.0142338008
-2.5216694099,-2.0598500619,-3.0003944736
-2.5093542598,-2.0116017492,-2.9674364566
-2.5057799994,-1.995602143,-2.9642061937
-2.4921079728,-1.958847972,-2.9569110675
-2.4844934875,-1.9364574029,-2.9167742643
-2.4792544784,-1.9132797133,-2.9120027053
-2.4747689427,-1.8483869365,-2.9093449143
-2.4658428062,-1.8389822519,-2.8877169145
-2.4569808978,-1.7032592759,-2.8692484687
-2.4273740513,-1.6240174402,-2.8453771768
-2.4265171892,-1.5675318835,-2.8397500646
-2.412381626,-1.5168520525,-2.8236973661
-2.3723592224,-1.4590492197,-2.8058304089
-2.3639015154,-1.4106629562,-2.7777035131
-2.350378892,-1.2925029615,-2.7693529556
-2.3347326768,-1.1813556612,-2.7374427794
-2.3245718771,-1.1239934663,-2.7246998749
-2.3052975144,-0.9815581424,-2.7201850976
-2.2997880351,-0.8940102396,-2.7151172042
-2.2981331399,-0.8654332383,-2.7131341143
-2.2967421123,-0.7772939749,-2.6907183618
-2.2921671747,-0.6393768361,-2.6833060925
-2.2905728762,-0.5683104098,-2.6829189087
-2.2677149458,-0.548419499,-2.6424861075
-2.2623733746,-0.4589010355,-2.6357598773
-2.2449741388,-0.4304821422,-2.6241649329
-2.2364837482,-0.3748149524,-2.5916772294
-2.2096776657,-0.3030800447,-2.5598837385
-2.2016826241,-0.1839912569,-2.5596879441
-2.188334318,-0.145120167,-2.5409753542
-2.1693742447,0.0834538169,-2.5248693685
-2.1690386016,0.1596864183,-2.5042838328
-2.1649094588,0.325485225,-2.496452197
-2.1617869234,0.3755273577,-2.4953919641
-2.1416530382,0.3809903045,-2.4913403414
-2.1135812231,0.3938705365,-2.4756956828
-2.107351585,0.4214187269,-2.4613965672
-2.1065882887,0.4442476652,-2.4368445361
-2.1065448327,0.4515598135,-2.3946901575
-2.088332061,0.5007570416,-2.3847140091
-2.0775392155,0.5081595033,-2.3491911047
-2.0752503994,0.5176375724,-2.3403353332
-2.0675696357,0.5182357028,-2.2950941441
-2.0608135864,0.6630796563,-2.2922565965
-2.043601656,0.6772343776,-2.2752803809
-2.0412396212,0.8413770397,-2.2161527959
-2.0371520121,0.8643844495,-2.2074564555
-2.0279855262,0.8771568151,-2.1789790187
-2.0217161666,0.9038300083,-2.1433785257
-2.0029094333,0.9471332447,-2.1087091565
-1.9998451469,0.9946209605,-2.101810009
-1.9951408658,1.0101812082,-2.0877812477
-1.9862360285,1.0309577584,-2.0571608437
-1.983069562,1.2093746679,-2.0359599422
-1.9294988465,1.237540877,-2.0343102178
-1.9081440994,1.2759595238,-2.0068795299
-1.9078008291,1.2778806843,-1.9719169243
-1.9058793881,1.328983683,-1.9692329948
-1.9041418307,1.4656114706,-1.9659608979
-1.8917202616,1.4930380188,-1.9456173684
-1.8642792831,1.4932301692,-1.8224610871
-1.8046705705,1.4971329914,-1.7880350564
-1.7929073027,1.5919392434,-1.7468377969
-1.7824230469,1.5997770503,-1.6820157376
-1.7736951216,1.6172010611,-1.624622984
-1.7611188523,1.7315833335,-1.581930285
-1.7546793437,1.7777199091,-1.5068736328
-1.7455532701,1.8824958992,-1.3661179463
-1.7272918932,2.0281411966,-1.3368419314
-1.7264095512,2.0503191037,-1.0953321758
-1.7209439387,2.0525623815,-1.0887529456
-1.7067790452,2.0739676151,-1.0219700324
-1.6834736021,2.2164561067,-0.8071400108
-1.6729573759,2.2819391681,-0.6432571709
-1.623910173,2.3530827416,-0.5660870614
-1.6012919512,2.3985898499,-0.5276718859
-1.5963095031,2.4151123082,-0.5128656878
-1.5900937065,2.4224432281,-0.3519979559
-1.5873626969,2.4556184353,-0.3128127936
-1.5832973557,2.4889103438,-0.2466544619
-1.5357489472,2.5007652373,-0.1713528443
-1.5156451445,2.5260770403,-0.1474432201
-1.5107984962,2.5564267756,-0.1261905661
-1.5069563385,2.6198082966,-0.1067921359
-1.4936613543,2.6323395815,-0.0473265374
-1.4613915506,2.6328683459,-0.0183314639
-1.4590218877,2.656563196,-0.0171039536
-1.4589649533,2.7172334162,0.0215036382
-1.4505006381,2.7268542528,0.0987602645
-1.4467730669,2.7496599815,0.2279269172
-1.4345614215,2.77144295,0.2620742306
-1.4058135893,2.8639975978,0.450674441
-1.3955300016,2.8800070056,0.5957167774
-1.3898546505,2.9091968335,0.6597222446
-1.3761500698,2.9549462285,0.6883925331
-1.3544109056,2.9744887736,0.7065594451
-1.3496070637,2.9967819929,0.7228869597
-1.334589772,3.022444564,0.7456124062
-1.3292169133,3.0677667364,0.8056407678
-1.3129810408,3.13954194,0.8660136032
-1.2979263497,3.1578643505,0.9026854029
-1.2866085213,3.1765491238,1.2192938567
-1.2858761555,3.1860736361,1.393767762
-1.2809082841,3.2419301114,1.3947263124
-1.2804363036,3.3032508457,1.4507673538
-1.2637287222,3.312055515,1.5843946455
-1.2238757112,3.3526599946,1.8696379069
-1.2181649585,3.3732137113,1.9674652301
-1.216833364,3.4118936679,2.1319002267
-1.1838060303,3.4299836351,2.2159100002
-1.1677773566,3.4342506535,2.2590932565
-1.1589523723,3.4399421256,2.3718937091
-1.1581762891,3.4902116168,2.4155095235
-1.1574052609,3.5273938478,2.433741156
-1.1457761938,3.6155413611,2.510339438
-1.1358246443,3.6731780016,2.5481226889
-1.1257708743,3.6954592898,2.5551663918
-1.1181967097,3.7380300466,2.5862013116
-1.0900107914,3.7574997896,2.6324158414
-1.0865736624,3.7987806053,2.6562044524
-1.0863792796,3.8119425312,2.6861069494
-1.0774762681,3.8376247604,2.6950249578
-1.0728057663,3.849043273,2.704278873
-1.0655017381,3.9374206403,2.7112602512
-1.0571265433,3.9770370081,2.7384697888
-1.0504762043,3.9850791983,2.7441713196
-1.0476668519,4.0085279323,2.7812592677
-1.0302885633,4.0140140588,2.8587294043
-1.0239955619,4.0260054196,2.8740384049
-1.0211854571,4.0660216144,2.8823304009
-1.0153274608,4.1219480535,2.9074579602
-1.0065504986,4.1224489446,2.9563825545
-1.0031540443,4.1449168709,2.962847966
-0.9982648713,4.1660234913,2.9658324384
-0.9792720255,4.1710639444,3.0047596274
-0.9769974298,4.1752570141,3.1301108927
-0.9453799616,4.1763830113,3.1363119647
-0.9017792156,4.1963961675,3.1772215618
-0.8955582233,4.2039037989,3.1812311602
-0.8880909026,4.2062559401,3.2374428898
-0.8874575491,4.206718108,3.2727626341
-0.8838923434,4.2514934218,3.2763965697
-0.8716526891,4.2614558676,3.2956235281
-0.8596801524,4.2844917588,3.3274695892
-0.8528413727,4.2975374757,3.3470989447
-0.8494035396,4.3172889159,3.349317856
-0.8458664149,4.346642718,3.3498715733
-0.8282078079,4.3694444215,3.3575477391
-0.8116384544,4.4289382172,3.5155451408
-0.8063081271,4.5163229123,3.5301930636
-0.7922820962,4.5291875621,3.5484669843
-0.74604285,4.5435760698,3.5507430884
-0.7331919927,4.5587571575,3.5567845223
-0.7325078389,4.5713271143,3.5678906174
-0.7115485214,4.5817460707,3.6172996817
-0.7077034977,4.5819076064,3.6498593338
-0.6404147498,4.5972242291,3.651772884
-0.6110733121,4.6265590016,3.6617514489
-0.6023618656,4.6304577981,3.6917510901
-0.5858188045,4.6435261666,3.7854731455
-0.5728716485,4.649662241,3.8163748219
-0.5453715821,4.6509517015,3.8338292756
-0.5297186508,4.6716295634,3.8749177806
-0.524117206,4.6833893179,3.8777088561
-0.4957425854,4.7374850483,3.8796910727
-0.4723555763,4.7588881661,3.9027256021
-0.4019242304,4.7712034696,3.948463428
-0.385645964,4.7961795347,4.0141303647
-0.3789261819,4.8132877212,4.0311502817
-0.2953325975,4.8231290266,4.120778454
-0.2733225294,4.8251760232,4.147040762
-0.2463967933,4.8348373285,4.2344433361
-0.2332734879,4.8385273647,4.2787134114
-0.2218805688,4.8841129913,4.3123631343
-0.1242065945,4.9270134833,4.3696631548
-0.0928157905,4.9395280553,4.3866765531
-0.0655918353,4.9646495997,4.4047722151
-0.0289003652,4.975123986,4.4405531358
-0.0254954399,4.9839522339,4.448131045
0.028358003,4.9873763888,4.5494846665
0.0451754424,4.9884997933,4.5556730668
0.1013204821,5.010386409,4.5566006492
0.1066626348,5.0421343095,4.5770474603
0.1529099051,5.061647033,4.5931533944
0.1725453041,5.0665612055,4.6038277591
0.2019130193,5.0705293617,4.6108166202
0.2213430547,5.0976386501,4.6162474901
0.2784296886,5.1187510856,4.6689384517
0.2807148469,5.1477260829,4.6705374602
0.3187490201,5.1642985251,4.6839184461
0.35419746,5.1664195586,4.8047100244
0.3814020137,5.1999840486,4.831641187
0.4225298752,5.2145975681,4.9013633914
0.4291225232,5.2349062228,4.9168695056
0.4491083686,5.2648432139,4.9612987131
0.4755688734,5.2917966542,4.9830228479
0.4874772687,5.2970935221,5.0320829326
0.5054602682,5.3166252386,5.0404677832
0.5100014719,5.3774555559,5.0889158112
0.522667653,5.3992979302,5.0937639407
0.6076060853,5.4108659962,5.114195925
0.6935372254,5.4262069348,5.1147674034
0.9134385004,5.4647068551,5.1218304196
0.9992543503,5.4903401339,5.2035697088
1.0156655239,5.4981972497,5.2131765228
1.0291315372,5.5449889886,5.2175828839
1.1000766174,5.5676645425,5.2414212575
1.1243800048,5.5808101679,5.2545169817
1.3527950289,5.6143166885,5.2785248696
1.3920253668,5.6274474645,5.2982797317
1.5934034562,5.6342862263,5.3095423539
1.6474465122,5.6506264689,5.3234005879
1.6531622428,5.6956930903,5.3241032867
1.7953473635,5.7135083858,5.337380631
1.8224151973,5.742979506,5.3848987552
1.9132806669,5.7508499193,5.3941125409
1.978912004,5.7580401179,5.405188435
2.033685709,5.7710365484,5.4149138491
2.2554152493,5.7763780855,5.4200803361
2.4480110798,5.7779827399,5.4359952358
2.4585322384,5.7851919916,5.436875751
2.4618098337,5.793092821,5.4471477258
2.5006093943,5.8126201936,5.4715985409
